-9 -21.5
-0.03720892226643247+0j 0.00012721327865302935+0j
-0.03720892226643247+0j -0.0001272132786530872+0j
-0.036945299568500845+0j -0.00038163983595920363+0j
-0.03641805417263756+0j -0.0006360663932653195+0j
-0.03562718607884265+0j -0.0008904929505714366+0j
-0.033795004976527265+0j -3.933682357694726e-05+0j
-0.03193766246779394+0j 0.0005342789604988858+0j
-0.029410205102134615+0j 0.0004107665951391026+0j
-0.02662045752421185+0j 0.00027570605450953726+0j
-0.023690767699371694+0j 0.0001406455138799713+0j
-0.020621135627614175+0j 5.584973250406176e-06+0j
-0.017411561308939272+0j -0.00012947556737915894+0j
-0.014062044743346967+0j -0.0002645361080087251+0j
-0.010572585930837288+0j -0.0003995966486382908+0j
-0.0064649506325939006+0j -4.4585950525652634e-06+0j
-0.00262889363210541+0j 0.00017366977919927915+0j
-0.0026289079351729076+0j -0.00015866127581212858+0j
-0.006464986143658036+0j 3.977674591750725e-06+0j
-0.010611164543867197+0j 0.0004937172974664783+0j
-0.014103799879056293+0j 0.00032936651911001614+0j
-0.017456492967328013+0j 0.0001650157407535535+0j
-0.020669243808682337+0j 6.649623970908318e-07+0j
-0.023742052403119267+0j -0.00016368581595937112+0j
-0.026674918750638838+0j -0.00032803659431583393+0j
-0.029467842851241006+0j -0.0004923873726722963+0j
-0.03186772595003723+0j -0.00048217971377815584+0j
-0.033723785237145566+0j 4.1556436899774544e-05+0j
-0.03534153072024173+0j 0.0005652925875777031+0j
-0.036511671921813135+0j 0.0007740085026480914+0j
-0.0370389173176764+0j 0.0004644051015888409+0j
-0.03730254001560805+0j 0.0001548017005295899+0j
-0.037302540015608045+0j -0.00015480170052966052+0j
-0.03703891731767642+0j -0.0004644051015889107+0j
-0.036511671921813135+0j -0.0007740085026481601+0j
-0.03534153072024168+0j -0.0005652925875776591+0j
-0.03372378523714551+0j -4.1556436899726026e-05+0j
-0.03186772595003717+0j 0.00048217971377821167+0j
-0.02946784285124096+0j 0.0004923873726723504+0j
-0.02667491875063878+0j 0.0003280365943158914+0j
-0.023742052403119215+0j 0.0001636858159594318+0j
-0.020669243808682285+0j -6.649623970271892e-07+0j
-0.01745649296732797+0j -0.000165015740753486+0j
-0.014103799879056257+0j -0.0003293665191099459+0j
-0.01061116454386717+0j -0.0004937172974664053+0j
-0.006464986143657996+0j -3.977674591700472e-06+0j
-0.002628907935172893+0j 0.00015866127581215823+0j
-0.0026289222382403898+0j -0.00014363501689296278+0j
-0.00646502165472213+0j 3.5145096629292583e-06+0j
-0.010227116046152377+0j 0.00015066403621882108+0j
-0.01414555501476558+0j 0.0003968563445474973+0j
-0.017501424625716702+0j 0.0002032153284641403+0j
-0.020717351989750443+0j 9.574312380783255e-06+0j
-0.023793337106866787+0j -0.00018406670370257306+0j
-0.026729379977065766+0j -0.00037770771978593004+0j
-0.029525480600347348+0j -0.0005713487358692871+0j
-0.03179778943228047+0j -0.0004311547921388739+0j
-0.03365256549776382+0j 4.270172514115957e-05+0j
-0.03526902775923498+0j 0.0005165582424211917+0j
-0.0366052896709887+0j 0.0009119506120309215+0j
-0.03713253506685197+0j 0.0005471703672185372+0j
-0.03739615776478362+0j 0.00018239012240615235+0j
-0.037396157764783625+0j -0.00018239012240623174+0j
-0.03713253506685198+0j -0.0005471703672186158+0j
-0.0366052896709887+0j -0.0009119506120309987+0j
-0.03526902775923494+0j -0.0005165582424211546+0j
-0.03365256549776376+0j -4.2701725141116434e-05+0j
-0.03179778943228043+0j 0.00043115479213892607+0j
-0.029525480600347306+0j 0.0005713487358693465+0j
-0.026729379977065718+0j 0.00037770771978599374+0j
-0.023793337106866735+0j 0.00018406670370264036+0j
-0.02071735198975039+0j -9.574312380712416e-06+0j
-0.01750142462571667+0j -0.00020321532846406484+0j
-0.014145555014765545+0j -0.0003968563445474185+0j
-0.010227116046152344+0j -0.0001506640362187579+0j
-0.006465021654722091+0j -3.514509662882448e-06+0j
-0.002628922238240376+0j 0.00014363501689299222+0j
-0.002628936541307872+0j -0.00012859100244175202+0j
-0.006465057165786223+0j 3.069100266154475e-06+0j
-0.01022717276521308+0j 0.00013472920297406075+0j
-0.01418731015047486+0j 0.0004670055843212312+0j
-0.0175463562841054+0j 0.00024407433051097985+0j
-0.02076546017081855+0j 2.1143076700728516e-05+0j
-0.023844621810614305+0j -0.0002017881771095219+0j
-0.02678384120349269+0j -0.00042471943091977317+0j
-0.02963604626665319+0j -0.0008051810794631156+0j
-0.031727852914523715+0j -0.0003812041955809792+0j
-0.03358134575838206+0j 4.277268830115778e-05+0j
-0.03519652479822823+0j 0.00046674957218329394+0j
-0.03669890742016427+0j 0.0010498927214137518+0j
-0.03722615281602755+0j 0.000629935632848234+0j
-0.03748977551395918+0j 0.00020997854428271532+0j
-0.0374897755139592+0j -0.00020997854428280244+0j
-0.037226152816027556+0j -0.0006299356328483203+0j
-0.03669890742016428+0j -0.0010498927214138366+0j
-0.03519652479822817+0j -0.00046674957218326206+0j
-0.03358134575838201+0j -4.277268830111794e-05+0j
-0.03172785291452366+0j 0.00038120419558103087+0j
-0.029636046266653154+0j 0.0008051810794631762+0j
-0.026783841203492646+0j 0.00042471943091984543+0j
-0.023844621810614256+0j 0.0002017881771095981+0j
-0.020765460170818498+0j -2.114307670064804e-05+0j
