-30.165999999999983 -8.449
-2.1365953977047392e-08+0j 0.004626716237927087+0j
-3.560992327438428e-08+0j 0.004626716237927086+0j
-4.985389257025749e-08+0j 0.004626716237927085+0j
-6.409786186663215e-08+0j 0.004626716237927084+0j
-7.834183116203102e-08+0j 0.004626716237927083+0j
-9.258580045848699e-08+0j 0.00462671623792708+0j
-1.0682976975298801e-07+0j 0.004626716237927079+0j
-1.2107373904777702e-07+0j 0.0046267162379270785+0j
-1.3531770834162413e-07+0j 0.004626716237927077+0j
-1.495616776347157e-07+0j 0.004626716237927076+0j
0.00022459991366479445+0j 0.00487701723647149+0j
0.00017382999536943167+0j 0.004854749971903326+0j
0.00012475355962047736+0j 0.00483248270733516+0j
7.737060641793145e-05+0j 0.004810215442766995+0j
-5.140955816726918e-05+0j 0.007790646940203338+0j
-8.366527711672556e-05+0j 0.007815937378785876+0j
-0.00011761447861259159+0j 0.007841227817368412+0j
-0.00015325716265486818+0j 0.00786651825595095+0j
-0.00019059332924355407+0j 0.007891808694533492+0j
-0.0002296229783786508+0j 0.007917099133116029+0j
-0.0002703461100601579+0j 0.00794238957169857+0j
-4.762327570616317e-05+0j 0.00769508819233862+0j
-4.1273505612012825e-05+0j 0.007695088192338618+0j
-3.492373551786202e-05+0j 0.0076950881923386165+0j
-2.8573965423710185e-05+0j 0.007695088192338614+0j
-2.2224195329558025e-05+0j 0.007695088192338611+0j
-1.587442523540546e-05+0j 0.0076950881923386096+0j
-9.524655141252431e-06+0j 0.007695088192338608+0j
-3.1748850470993633e-06+0j 0.007695088192338606+0j
3.1748850470554395e-06+0j 0.0076950881923386035+0j
9.524655141209416e-06+0j 0.007695088192338602+0j
1.5874425235364313e-05+0j 0.007695088192338599+0j
2.2224195329520166e-05+0j 0.007695088192338597+0j
2.857396542367547e-05+0j 0.007695088192338596+0j
3.492373551783226e-05+0j 0.007695088192338593+0j
4.127350561198861e-05+0j 0.007695088192338591+0j
4.762327570614606e-05+0j 0.007695088192338589+0j
0.00027034611006020317+0j 0.007942389571698584+0j
0.00022962297837869606+0j 0.007917099133116043+0j
0.00019059332924359823+0j 0.007891808694533499+0j
0.00015325716265490865+0j 0.007866518255950956+0j
0.00011761447861262695+0j 0.007841227817368413+0j
8.36652771167539e-05+0j 0.007815937378785871+0j
5.1409558167289104e-05+0j 0.007790646940203327+0j
-2.5448509916627336e-05+0j 0.01066305899191154+0j
-4.257699461300283e-05+0j 0.010691372604508462+0j
-6.139896185578793e-05+0j 0.01071968621710538+0j
-8.191441164498374e-05+0j 0.010747999829702298+0j
-0.00010412334398058869+0j 0.010776313442299216+0j
-0.00012802575886260457+0j 0.010804627054896137+0j
-0.00015362165629103085+0j 0.010832940667493058+0j
-0.00018091103626586736+0j 0.010861254280089975+0j
-0.00020989389878711367+0j 0.010889567892686898+0j
-0.00024057024385477097+0j 0.010917881505283816+0j
-5.721202870923606e-05+0j 0.01071801646152393+0j
-4.449824455163238e-05+0j 0.010718016461523927+0j
-3.1784460394027134e-05+0j 0.010718016461523925+0j
-1.907067623642221e-05+0j 0.010718016461523922+0j
-6.356892078817241e-06+0j 0.01071801646152392+0j
6.356892078789478e-06+0j 0.010718016461523915+0j
1.907067623639537e-05+0j 0.010718016461523913+0j
3.178446039400323e-05+0j 0.01071801646152391+0j
4.449824455161091e-05+0j 0.010718016461523908+0j
5.721202870921753e-05+0j 0.010718016461523905+0j
0.00024057024385479815+0j 0.010917881505283824+0j
0.00020989389878714828+0j 0.010889567892686905+0j
0.00018091103626590674+0j 0.010861254280089981+0j
0.00015362165629107368+0j 0.010832940667493064+0j
0.00012802575886264775+0j 0.010804627054896142+0j
0.00010412334398063113+0j 0.01077631344229922+0j
8.191441164502272e-05+0j 0.010747999829702301+0j
6.139896185582219e-05+0j 0.01071968621710538+0j
4.2576994613030385e-05+0j 0.010691372604508458+0j
2.5448509916646746e-05+0j 0.01066305899191154+0j
5.125383340144759e-07+0j 0.013427451597891627+0j
-1.4887121092801295e-06+0j 0.013458788384502927+0j
-5.183445098984397e-06+0j 0.013490125171114224+0j
-1.057166063509929e-05+0j 0.013521461957725522+0j
-1.7653358717623363e-05+0j 0.013552798744336828+0j
-2.6428539346558353e-05+0j 0.013584135530948128+0j
-3.689720252190375e-05+0j 0.01361547231755943+0j
-4.905934824365938e-05+0j 0.013646809104170723+0j
-6.291497651182479e-05+0j 0.013678145890782029+0j
-7.846408732640125e-05+0j 0.013709482677393327+0j
-9.570668068738591e-05+0j 0.013740819464004628+0j
-0.00011464275659478279+0j 0.013772156250615928+0j
-0.0001352723150485883+0j 0.013803493037227228+0j
-2.8616697331592035e-05+0j 0.013695501045483031+0j
-9.538899110534366e-06+0j 0.013695501045483026+0j
9.53889911052332e-06+0j 0.013695501045483024+0j
2.8616697331582345e-05+0j 0.013695501045483019+0j
0.00013527231504858287+0j 0.013803493037227197+0j
0.00011464275659478914+0j 0.013772156250615895+0j
9.570668068740443e-05+0j 0.013740819464004597+0j
7.846408732642592e-05+0j 0.0137094826773933+0j
6.291497651185734e-05+0j 0.013678145890782003+0j
4.905934824369667e-05+0j 0.013646809104170708+0j
3.689720252194487e-05+0j 0.013615472317559406+0j
2.6428539346599945e-05+0j 0.013584135530948107+0j
1.765335871766449e-05+0j 0.013552798744336812+0j
1.0571660635137237e-05+0j 0.013521461957725512+0j
5.183445099017716e-06+0j 0.013490125171114213+0j
1.4887121093070855e-06+0j 0.013458788384502917+0j
