-30.165999999999983 -8.449
5.714396704561758e-08+0j -0.0063217870382249654+0j
-2.8677687388811436e-06+0j -0.00632169978709904+0j
-5.825690210444387e-06+0j -0.006321612535973115+0j
-8.816620447643361e-06+0j -0.006321525284847189+0j
-1.184055945047732e-05+0j -0.006321438033721264+0j
-1.489750721894728e-05+0j -0.006321350782595338+0j
-1.7987463753053187e-05+0j -0.0063212635314694125+0j
-2.111042905279419e-05+0j -0.0063211762803434875+0j
-2.4266403118171915e-05+0j -0.006321089029217563+0j
-2.7455385949185717e-05+0j -0.006321001778091637+0j
-0.00018385006346905057+0j -0.006489979807330799+0j
-0.00014239321064847942+0j -0.00647238326057119+0j
-0.00010226784025603602+0j -0.006454786713811592+0j
-6.34739522917204e-05+0j -0.006437190167051978+0j
3.729288037904496e-05+0j -0.010541872882598207+0j
6.076177449886957e-05+0j -0.010561268293158016+0j
8.551093640400811e-05+0j -0.010580663703717817+0j
0.0001115403660944608+0j -0.010600059114277612+0j
0.00013885006357022774+0j -0.010619454524837419+0j
0.00016744002883130847+0j -0.010638849935397219+0j
0.0001973102618777035+0j -0.010658245345957024+0j
0.00022846076270941203+0j -0.010677640756516825+0j
7.023820348887148e-05+0j -0.010525932334776951+0j
6.0062476990408226e-05+0j -0.010525786157007389+0j
4.9853741726311364e-05+0j -0.010525639979237826+0j
3.961199769657993e-05+0j -0.010525493801468264+0j
2.933724490121173e-05+0j -0.010525347623698703+0j
1.902948334020656e-05+0j -0.010525201445929142+0j
8.688713013567048e-06+0j -0.01052505526815958+0j
-1.6850660787093123e-06+0j -0.010524909090390017+0j
-1.2091853936620888e-05+0j -0.010524762912620455+0j
-2.2531650560168133e-05+0j -0.010524616734850892+0j
-3.300445594935005e-05+0j -0.010524470557081332+0j
-4.3510270104169915e-05+0j -0.010524324379311771+0j
-5.404909302462555e-05+0j -0.010524178201542209+0j
-6.462092471071349e-05+0j -0.010524032023772646+0j
-0.00022336873613646544+0j -0.010675479287920014+0j
-0.00019260484858198978+0j -0.010655505803124724+0j
-0.00016317244345564281+0j -0.010635532318329439+0j
-0.00013507152075742352+0j -0.010615558833534156+0j
-0.00010830208048733133+0j -0.010595585348738874+0j
-8.286412264536699e-05+0j -0.010575611863943582+0j
-5.8757647231530496e-05+0j -0.010555638379148295+0j
-3.598265424582163e-05+0j -0.010535664894353007+0j
9.630409623265401e-06+0j -0.014528540256772672+0j
1.698066819718784e-05+0j -0.014550221177926146+0j
2.5611194556424224e-05+0j -0.014571902099079615+0j
3.55219887009747e-05+0j -0.01459358302023308+0j
4.671305063083943e-05+0j -0.014615263941386554+0j
5.9184380346017974e-05+0j -0.01463694486254002+0j
7.293597784651083e-05+0j -0.014658625783693492+0j
8.796784313231721e-05+0j -0.014680306704846963+0j
0.00010427997620343833+0j -0.014701987626000432+0j
0.00012187237705987467+0j -0.0147236685471539+0j
0.00014074504570162413+0j -0.014745349468307365+0j
6.503741938101288e-05+0j -0.014675102576744646+0j
4.7247782668024835e-05+0j -0.014674897472331448+0j
2.9425137189399933e-05+0j -0.01467469236791825+0j
1.1569482945139897e-05+0j -0.014674487263505051+0j
-6.319180064756757e-06+0j -0.014674282159091853+0j
-2.424085184028831e-05+0j -0.014674077054678655+0j
-4.2195532381455664e-05+0j -0.014673871950265456+0j
-6.018322168826005e-05+0j -0.014673666845852258+0j
-0.00013596904553668906+0j -0.014743257298673682+0j
-0.0001172296056764381+0j -0.014720906875842722+0j
-9.982164824431456e-05+0j -0.014698556453011751+0j
-8.374517324031908e-05+0j -0.014676206030180787+0j
-6.900018066445013e-05+0j -0.014653855607349827+0j
-5.558667051670994e-05+0j -0.01463150518451886+0j
-4.350464279709756e-05+0j -0.014609154761687893+0j
-3.2754097505612225e-05+0j -0.014586804338856922+0j
-2.333503464225461e-05+0j -0.014564453916025958+0j
-1.5247454207024954e-05+0j -0.014542103493195005+0j
-8.491356199922863e-06+0j -0.014519753070364032+0j
-1.803206113251409e-05+0j -0.018400108859523843+0j
-2.6800438104493788e-05+0j -0.018424075291270985+0j
-3.4288547291159584e-05+0j -0.01844804172301812+0j
-4.0496388692511276e-05+0j -0.01847200815476525+0j
-4.5423962308548685e-05+0j -0.01849597458651238+0j
-4.9071268139272306e-05+0j -0.018519941018259527+0j
-5.1438306184681577e-05+0j -0.018543907450006666+0j
-5.25250764447774e-05+0j -0.018567873881753797+0j
-5.23315789195583e-05+0j -0.01859184031350093+0j
-5.085781360902414e-05+0j -0.018615806745248077+0j
-4.810378051317694e-05+0j -0.01863977317699521+0j
-4.4069479632014296e-05+0j -0.01866373960874234+0j
-3.875491096554085e-05+0j -0.018687706040489478+0j
-3.2160074513750175e-05+0j -0.01871167247223662+0j
-2.4284970276645856e-05+0j -0.018735638903983755+0j
2.7514198487424282e-05+0j -0.018735637747218047+0j
3.556067308157649e-05+0j -0.0187109103863514+0j
4.227566524760469e-05+0j -0.01868618302548476+0j
4.765917498550515e-05+0j -0.018661455664618114+0j
5.171120229527736e-05+0j -0.018636728303751474+0j
5.443174717692158e-05+0j -0.018612000942884833+0j
5.5820809630438305e-05+0j -0.01858727358201819+0j
5.587838965582701e-05+0j -0.018562546221151537+0j
5.4604487253089196e-05+0j -0.018537818860284903+0j
5.1999102422222635e-05+0j -0.018513091499418256+0j
4.806223516322828e-05+0j -0.018488364138551615+0j
4.2793885476106814e-05+0j -0.018463636777684967+0j
3.61940533608577e-05+0j -0.01843890941681832+0j
