-21.5 -9
0.0002138519545714459+0j 0.017500129039361486+0j
0.0006617103149626617+0j 0.017918105438997783+0j
0.0005722061639909773+0j 0.017863249877438588+0j
0.0004860288262204332+0j 0.017808394315879408+0j
0.0004031783016510283+0j 0.017753538754320217+0j
0.0003236545902827614+0j 0.017698683192761022+0j
0.0002474576921156352+0j 0.01764382763120184+0j
0.00017458760714964702+0j 0.01758897206964266+0j
0.00010504433538479854+0j 0.01753411650808347+0j
-4.902331870268558e-05+0j 0.02171117447442295+0j
-8.43151658792655e-05+0j 0.021769315620629365+0j
-0.00012333230867800848+0j 0.021827456766835774+0j
-0.00016607474709891647+0j 0.02188559791304219+0j
-0.00021254248114198706+0j 0.021943739059248603+0j
-0.00026273551080722285+0j 0.02200188020545502+0j
-0.0003166538360946208+0j 0.022060021351661425+0j
-0.00037429745700418346+0j 0.022118162497867844+0j
-0.00043566637353590883+0j 0.022176303644074254+0j
-0.0005007605856898032+0j 0.022234444790280673+0j
-0.0002901456570868007+0j 0.0220451030318762+0j
-0.00023637785620332332+0j 0.02204366731493292+0j
-0.00018235291198672056+0j 0.022042231597989636+0j
-0.00012807082443699297+0j 0.022040795881046356+0j
-7.353159355414027e-05+0j 0.022039360164103072+0j
-1.7055962192536264e-05+0j 0.022055370244973005+0j
4.128022640131804e-05+0j 0.022054499138864786+0j
9.977243399962962e-05+0j 0.022053628032756564+0j
0.00015842066060239895+0j 0.02205275692664834+0j
0.00021722490620962616+0j 0.02205188582054012+0j
0.0004525282733826226+0j 0.022258498284102434+0j
0.00039389444415674133+0j 0.02219966902899743+0j
0.0003385874281319949+0j 0.02214083977389245+0j
0.00028660722530838813+0j 0.02208201051878745+0j
0.00023795383568592154+0j 0.022023181263682464+0j
0.00019262725926459377+0j 0.021964352008577468+0j
0.00015062749604440463+0j 0.021905522753472472+0j
0.00011195454602535554+0j 0.021846693498367487+0j
7.660840920744494e-05+0j 0.02178786424326249+0j
4.458908559067385e-05+0j 0.021729034988157498+0j
1.0938585144875651e-05+0j 0.025721344134364933+0j
1.2864471390919914e-05+0j 0.025783934939231153+0j
1.1065062014801202e-05+0j 0.025846525744097366+0j
5.540357016517442e-06+0j 0.025909116548963586+0j
-3.7096436039289553e-06+0j 0.025971707353829816+0j
-1.6684939846540442e-05+0j 0.026034298158696036+0j
-3.3385531711314266e-05+0j 0.026096888963562253+0j
-5.381141919825261e-05+0j 0.02615947976842847+0j
-7.796260230735392e-05+0j 0.026222070573294686+0j
-0.00010583908103862415+0j 0.026284661378160917+0j
-0.0001374408553920539+0j 0.026347252183027126+0j
-0.00017276792536764785+0j 0.02640984298789335+0j
-0.00023211021739429896+0j 0.026500673313366363+0j
-0.00015886464540996155+0j 0.026498930452997404+0j
-8.536193009249907e-05+0j 0.026497187592628445+0j
-9.881626191508737e-06+0j 0.02651550606038948+0j
6.750042304650852e-05+0j 0.026514448598248152+0j
0.0001450384912889833+0j 0.02651339113610683+0j
0.00010655769201483574+0j 0.02643550481779393+0j
7.879418453474891e-05+0j 0.02637270186914313+0j
5.435749025580128e-05+0j 0.026309898920492333+0j
3.324760917799741e-05+0j 0.02624709597184154+0j
1.5464541301328305e-05+0j 0.026184293023190745+0j
1.0082866257990106e-06+0j 0.026121490074539944+0j
