-8.5 -15.486139368992099
0.061173723931767426+0j 0.003985915051411827+0j
0.06827499131924067+0j -0.012544523330721698+0j
0.038711026714551046+0j -0.004927645266543527+0j
0.009555819367551838+0j 0.00268923279763463+0j
0.000337970407293844+0j 0.00041331073483690363+0j
0.0002671881842285632+0j 0.0002655215586657565+0j
0.00020975487901770014+0j 0.00010910690286989635+0j
0.0002322227852934118+0j 0.0001069101244385572+0j
0.00012352579322181818+0j -3.0276859851102096e-05+0j
8.689280007421389e-05+0j -1.3800088991582954e-05+0j
5.247626854170504e-05+0j 2.676681867936205e-06+0j
4.595212572416458e-05+0j -1.3379621936912849e-05+0j
3.553801655283478e-05+0j -1.2257137725660806e-05+0j
2.616446178014388e-05+0j -1.0641184807345024e-05+0j
1.7437996353031956e-05+0j -9.025231889029279e-06+0j
1.0893575720571313e-05+0j -9.045334406507892e-06+0j
4.654401568205983e-06+0j -8.469926611336388e-06+0j
1.1163468587970687e-05+0j 7.718531559168326e-06+0j
3.2836996706609e-05+0j 6.5930559309264495e-06+0j
4.462253612302513e-05+0j -5.77846732507671e-06+0j
4.361844787606255e-05+0j 5.136032242605656e-05+0j
4.3694697332612334e-05+0j 0.00010849911217718988+0j
0.0004911677578403393+0j -0.0003349053548829798+0j
0.0038734287515827213+0j 0.0005152654092104356+0j
0.004668413631404991+0j 0.0009330450824854347+0j
-0.0014905738753242207+0j 0.02783155741102001+0j
0.08738441120517342+0j 0.02489888113984981+0j
0.1171459877196059+0j -0.01253510620668359+0j
0.0013201095512582655+0j -0.06114137811398415+0j
0.008299923133923873+0j -0.013925981618894384+0j
0.08619692475091288+0j 0.013721667233015013+0j
0.09318744854953227+0j -0.02525620998607505+0j
0.06353561629861018+0j -0.017730764466380278+0j
0.001142467982765817+0j -0.005755594760471384+0j
0.004639332738382113+0j -0.0013570058318172896+0j
0.00036334068948586556+0j 0.00025166959498416387+0j
0.0002970965114037461+0j 0.00010251251364612495+0j
0.00027565075247288983+0j 0.00012672753216648997+0j
0.00013044941487325596+0j -4.0564392061588246e-05+0j
9.382762741998648e-05+0j -2.458340866860362e-05+0j
5.942230158181244e-05+0j -8.602425275618982e-06+0j
4.538173599324209e-05+0j -1.5883534198726744e-05+0j
3.54092985010025e-05+0j -1.4230067439093758e-05+0j
2.6070641745995716e-05+0j -1.2758858190183788e-05+0j
1.7724369891180014e-05+0j -1.0756655397727492e-05+0j
1.1084845291613651e-05+0j -1.0669627538042063e-05+0j
4.628891430777991e-06+0j -9.986345265517857e-06+0j
1.7364579347986382e-05+0j 1.330083277802813e-05+0j
3.203494674081368e-05+0j 8.146399121575755e-06+0j
4.5099464109042724e-05+0j -1.2196531604019627e-05+0j
4.4028492626389164e-05+0j 4.470060366080167e-05+0j
-0.0003427464224273706+0j -0.00013929471961866382+0j
-0.00011901700678604506+0j 0.0004262463688089735+0j
0.0006694432660993211+0j 0.0008455110968841023+0j
0.0014512644704664564+0j 0.0012647758249592319+0j
-0.005491777647860024+0j 0.02437979192256222+0j
-0.013325290867516272+0j 0.07868573477848163+0j
0.14661953749621914+0j -0.024401169858818586+0j
-0.009557385586460352+0j -0.05650852588586624+0j
-0.002636214116220821+0j -0.017389366101374277+0j
-0.010293238742846789+0j 0.08288087603856012+0j
0.11809990577982393+0j -0.037889278221115076+0j
-0.008993735955353462+0j -0.04958378390129378+0j
-0.0021245918993643364+0j -0.00266777643659175+0j
0.0018688040286418495+0j -0.0010027911389183573+0j
0.0026066892575314685+0j -0.0009085604254558971+0j
0.0003916717208981012+0j 8.87039094276451e-05+0j
0.00017620007989872387+0j -6.634714634608722e-05+0j
0.00013737303652469385+0j -5.086195041963714e-05+0j
0.00010076245476575918+0j -3.537675449318704e-05+0j
6.636833462191995e-05+0j -1.9891558566736937e-05+0j
4.481134626231955e-05+0j -1.843487648042911e-05+0j
3.3762209146835064e-05+0j -1.669231912666339e-05+0j
2.498497473745689e-05+0j -1.4775889093448637e-05+0j
1.6818212375985437e-05+0j -1.2859459060233931e-05+0j
