-20.5 -8
-3.162012384851987e-05+0j 0.0054151527216272045+0j
3.162021870957237e-05+0j 0.005415152720873168+0j
9.486056161236897e-05+0j 0.005415152720119131+0j
0.00015810090485986528+0j 0.0054151527193650965+0j
0.00022134124845206557+0j 0.00541515271861106+0j
0.0002845815923889696+0j 0.005415152717857023+0j
0.0003478219366705713+0j 0.005415152717102988+0j
0.00041106228129688153+0j 0.005415152716348951+0j
0.00047430262626788793+0j 0.005415152715594915+0j
0.0005375429715835995+0j 0.005415152714840879+0j
0.0006007833172440132+0j 0.005415152714086843+0j
0.0006640236632491282+0j 0.005415152713332806+0j
0.000727264009598948+0j 0.005415152712578771+0j
0.003077332917038109+0j 0.008025121799771554+0j
0.0022735851200197574+0j 0.006116210748720037+0j
0.0014674042615282963+0j 0.004207299697668521+0j
-0.0014542801831510781+0j 0.005181620892777849+0j
-0.0022532201704188017+0j 0.0070874145671045025+0j
-0.003049727095932574+0j 0.008993208241431148+0j
-0.003843800959692396+0j 0.0108990019157578+0j
-0.004635441761698268+0j 0.012804795590084444+0j
-0.0006513057367999772+0j 0.008549990312254502+0j
-0.0005827472382789029+0j 0.008549990311058816+0j
-0.0005141887394131281+0j 0.00854999030986313+0j
-0.000445630240202651+0j 0.008549990308667444+0j
-0.00037707174064747085+0j 0.008549990307471758+0j
-0.0003085132407475893+0j 0.008549990306276073+0j
-0.00023995474050300376+0j 0.008549990305080387+0j
-0.0001713962399137164+0j 0.0085499903038847+0j
-0.00010283773897972918+0j 0.008549990302689015+0j
-3.427923770103674e-05+0j 0.008549990301493329+0j
3.427926392235564e-05+0j 0.008549990300297643+0j
0.00010283776589045204+0j 0.008549990299101957+0j
0.00017139626820324828+0j 0.008549990297906271+0j
0.00023995477086074878+0j 0.008549990296710585+0j
0.0003085132738629525+0j 0.0085499902955149+0j
0.0003770717772098563+0j 0.008549990294319213+0j
0.00044563028090146406+0j 0.008549990293123528+0j
0.000514188784937772+0j 0.008549990291927842+0j
0.0005827472893187829+0j 0.008549990290732156+0j
0.0006513057940444974+0j 0.00854999028953647+0j
0.0046354416522733375+0j 0.012804795359666202+0j
0.00384380086841749+0j 0.010899001668627107+0j
0.003049727023088534+0j 0.00899320797758802+0j
0.0022532201162864646+0j 0.007087414286548926+0j
0.0014542801480112854+0j 0.005181620595509836+0j
-0.0014411560690427967+0j 0.0061188322170755835+0j
-0.0022328551657680206+0j 0.008021508531029986+0j
-0.0030221212007392924+0j 0.009924184844984387+0j
-0.003808954173956614+0j 0.01182686115893879+0j
-0.004593354085419986+0j 0.013729537472893188+0j
-0.005375320935129409+0j 0.015632213786847593+0j
-0.00615485472308488+0j 0.01753489010080199+0j
-0.0005540749667227471+0j 0.011657572327611138+0j
-0.00048019830844696907+0j 0.011657572325973801+0j
-0.00040632164982648853+0j 0.011657572324336467+0j
-0.0003324449908613066+0j 0.01165757232269913+0j
-0.00025856833155142123+0j 0.011657572321061793+0j
-0.00018469167189683416+0j 0.011657572319424459+0j
-0.00011081501189754652+0j 0.011657572317787123+0j
-3.693835155355384e-05+0j 0.011657572316149788+0j
3.6938309135138716e-05+0j 0.011657572314512452+0j
0.00011081497016853508+0j 0.011657572312875116+0j
0.00018469163154663157+0j 0.011657572311237782+0j
0.00025856829326943183+0j 0.011657572309600446+0j
0.00033244495533693536+0j 0.01165757230796311+0j
0.0004063216177491391+0j 0.011657572306325774+0j
0.00048019828050604795+0j 0.011657572304688437+0j
0.000554074943607657+0j 0.011657572303051101+0j
0.006154854580750986+0j 0.0175348899171527+0j
0.005375320810057648+0j 0.015632213586126036+0j
0.004593353977891198+0j 0.01372953725509937+0j
0.0038089540842516337+0j 0.011826860924072704+0j
0.0030221211291389595+0j 0.009924184593046035+0j
0.002232855112553172+0j 0.008021508262019365+0j
0.0014411560344942743+0j 0.0061188319309926995+0j
-0.0014280319549345153+0j 0.007018933977343012+0j
-0.002212490161117239+0j 0.008918492930925169+0j
-0.0029945153055460113+0j 0.010818051884507318+0j
-0.0037741073882208327+0j 0.012717610838089472+0j
-0.004551266409141705+0j 0.01461716979167162+0j
-0.005325992368308628+0j 0.016516728745253777+0j
-0.006098285265721598+0j 0.01841628769883593+0j
-0.006868145101380622+0j 0.020315846652418083+0j
-0.007635571875285691+0j 0.022215405606000233+0j
-0.00043557155900550686+0j 0.014737898775991522+0j
-0.00035637674097502455+0j 0.014737898773912537+0j
-0.0002771819225998394+0j 0.014737898771833551+0j
-0.00019798710387995314+0j 0.014737898769754565+0j
