-82.57800044142137 -70.51300044142135 -30.000000441421356
-8.040297390981529e-15+1.8528718395152928e-14j -3.263521506888396e-22+5.6137112355335965e-22j 5.376622194419106e-15-2.5343870408887815e-16j
-4.761456533484973e-07-1.9286775595137898e-07j -2.4534913819495595e-14+1.4847510978031074e-14j 8.676716923525983e-15-2.290675983235882e-14j
2.805360281410422e-07-1.3508659007839157e-07j -2.3079930428775094e-14+3.7129727521598706e-14j 8.676716923525983e-15-2.290675983235882e-14j
3.743003421753331e-05-3.957081917852162e-06j -1.6496124676471058e-13+2.378206777736772e-13j 1.55128064448565e-13+1.1879789049439105e-14j
1.4604414983469081e-05+2.933388224467923e-05j 3.3027165570829546e-13-1.5959875002163355e-13j -4.878897277104062e-13+1.8083350691115543e-13j
6.45816860436567e-06+3.5392717057506284e-05j -2.8393445938618838e-12+1.3462378872509802e-12j 2.760406217154765e-13-1.5365500969817995e-13j
1.9544310836832884e-05+2.9224558119458713e-05j -4.577706471137007e-13+1.9104588581244897e-12j 5.163495704912633e-15+4.5176072679188025e-14j
2.1357709096926507e-05+1.5571303311187016e-05j 5.469359774719323e-13+9.69770332416042e-13j 2.885917677329016e-13-1.4671294088612267e-13j
2.1812534965816763e-05-2.1532246333475002e-06j 1.6485447754337065e-12+3.499774512465522e-14j -2.0458805187044128e-13-4.4619786571676837e-14j
-7.624253427187344e-06-7.527450730006662e-06j 6.380880085509535e-13-1.7592568888763594e-13j -3.032737404631973e-13-2.971765381929227e-14j
-9.177290354401177e-06-1.1433790826292077e-05j 3.980807010288617e-13+7.96871993636439e-13j -3.362599093665118e-13-9.221079808800122e-14j
-7.119433800821444e-06-1.1699218103707467e-05j -5.947841066014631e-13+1.067113608840786e-12j 1.749702460275941e-13+1.8494729078675398e-13j
-5.173654975287244e-05+1.5711636108979915e-05j -1.2601439408782345e-12+1.3040016372418775e-12j 1.749702460275941e-13+1.8494729078675398e-13j
-2.3625721589660957e-05+1.750996835987949e-05j -1.5862435234195076e-12-2.2591710442628393e-15j 1.9048675126034393e-13+6.025983756707266e-14j
-7.2744975535558886e-06+3.089274287158176e-05j -1.0915129206601355e-12-2.0895706215671862e-12j 6.420894459216212e-14-1.958378048746371e-13j
5.584151122819757e-07+1.7785167333694545e-05j -7.887518646256831e-13-1.8170687985604607e-12j 6.420894459216212e-14-1.958378048746371e-13j
2.914984235897038e-06+1.3148843636249372e-05j -5.628702117682676e-13-6.25105620649463e-13j 3.718788113599186e-13+2.124225279431113e-14j
8.206771361191181e-06-2.0692083409977165e-05j -6.054687801213346e-13+2.8128893175551642e-12j -1.5473243941265981e-13-5.345616066518664e-14j
7.998327211193786e-06-3.343287779745022e-06j -2.6146363564773764e-13+2.805746925057859e-12j -1.5473243941265981e-13-5.345616066518664e-14j
9.893911581771964e-06-4.593301479574427e-06j 3.305640476548357e-13+2.381964357867677e-12j -2.0645913223739967e-13-5.284273246909612e-15j
8.59136060024703e-06+5.995180523218333e-06j 1.2646734086260976e-12+1.2868479830358819e-12j -2.71239435497376e-13-7.858446976385876e-14j
-4.150811411941351e-06+1.6307043162524807e-06j 1.270115240916776e-12-1.2014088318911265e-12j 9.317471568723309e-14+2.586555069558103e-13j
-9.40971274825428e-06-7.747478009202145e-06j -4.246463027534282e-13-3.2227665853734593e-12j -5.6269779487026105e-14+7.795411720806823e-14j
-4.667289144040366e-06-1.852497936402181e-05j -7.807046083576022e-13-2.500334003843841e-12j -1.9658746435922788e-14+1.5821144424383194e-13j
3.462767516982129e-08-1.9868959078019155e-05j -8.362025095032931e-13-1.1249388902365286e-12j 6.318456698406257e-14-3.8328688385696955e-13j
8.477134579043461e-06-1.4732912562448371e-05j 2.900594866914612e-13+2.2347640716527749e-13j 1.567241130991237e-13-4.7180306763496164e-14j
7.321916417837055e-07-1.5423753168022394e-06j 2.792953619709985e-13-1.7050788882977123e-13j -6.53853804308621e-14+2.6786519016825857e-13j
8.800528770827636e-08-7.643865560928587e-07j 1.4018807694615485e-14+1.1608640939851931e-14j 5.142733240582884e-16+2.6037398032251212e-14j
-2.1315379435754685e-08-4.9697166857238925e-08j 5.230426281438996e-15+1.5410408410981805e-14j 5.142733240582884e-16+2.6037398032251212e-14j
7.96736504034058e-15+4.738089864115702e-14j -9.841972431984232e-22+2.0706287219502743e-21j 2.553559694118663e-15+7.674069670940955e-15j
1.526522475708203e-14+2.430772441888152e-14j -3.263521506888396e-22+5.6137112355335965e-22j -1.5185857536836018e-14+1.7333746450449627e-15j
-1.9200939501001925e-07-2.3418141568518946e-07j 8.33787085168464e-15-1.4342298398136712e-14j -7.436062026798293e-15+1.6875017267402735e-14j
8.540165749574731e-06-2.5724765234467455e-06j -3.9503805958756925e-13-4.06871801755784e-13j 2.970057815378666e-13-5.444178325959485e-13j
2.804726462585564e-05+1.4741319771167036e-05j -1.1667128819238012e-12-1.1066909724860413e-14j 1.6258925064020335e-13+7.768893865509718e-14j
2.4299680773932133e-05+3.6902680667191136e-05j -6.714800531587855e-13-4.0848635583309767e-13j -3.826463271575834e-13+9.434842106817323e-14j
-5.2802547643396696e-05+7.855535097657393e-05j -3.3324690394187077e-12+2.5795383120897955e-12j -3.047920018233436e-13+1.1639172842355993e-13j
-4.863162917833212e-05+5.1636622377190026e-05j -2.327762129389962e-12+1.638849667936085e-12j -2.1363679379825832e-14-7.549734250973008e-14j
-2.8451852149479018e-05+1.5495959531225895e-05j -1.3230553672120392e-12+6.981611622123948e-13j 2.62064647224385e-13-2.673864116281919e-13j
7.736783443162348e-06-2.9866637561318537e-05j -3.1834875288494893e-13-2.425272050812799e-13j 5.454929779892886e-13-4.592754789318256e-13j
-1.039335508225161e-05+1.075561785917213e-05j 3.593310279496725e-13+1.5456392610770089e-12j -2.609092008798214e-13+5.137692276918415e-13j
-2.0257777714969165e-05+4.6226703768002006e-05j 1.193236903911903e-13+2.518437115402866e-12j -2.9389534285173833e-13+4.512760105859805e-13j
-3.763747083407916e-05+8.604473892714514e-05j -1.206836910996071e-13+3.4912351178659214e-12j -3.2688146814465693e-13+3.88782771828612e-13j
