-0.2499999720603232 0.37500001396983884
0.016921403508388153+0j 0.24202766501391978+0j
0.014836882578997103+0j 0.23744965032603016+0j
0.012752361649605979+0j 0.23287163563814045+0j
0.010667840720214854+0j 0.22829362095025085+0j
0.07617753884828402+0j -1.3494503786603893+0j
0.0764343952243511+0j -1.4235485229699838+0j
0.0014714922619043231+0j -1.3240385337029308+0j
0.0004291856901592803+0j -1.3372223931058114+0j
0.00012229607170260033+0j 0.6731852111551516+0j
0.0003831537745794242+0j 0.6385109835579516+0j
0.0006440114774562029+0j 0.6038367559607517+0j
0.0009048691803329503+0j 0.5691625283635517+0j
0.18692540310977396+0j 0.6843645087085906+0j
0.1755966231501917+0j 0.6021074925137626+0j
0.16426784319060997+0j 0.5198504763189351+0j
0.15293906323102846+0j 0.43759346012410755+0j
0.1416102832714473+0j 0.3553364439292798+0j
0.13028150331186653+0j 0.2730794277344521+0j
0.11890514753211853+0j 0.35776133455336667+0j
0.10979544906293014+0j 0.3464078958354992+0j
0.1006857505937415+0j 0.3350544571176317+0j
0.09157605212455268+0j 0.32370101839976423+0j
0.08246635365536352+0j 0.31234757968189686+0j
0.07335665518617428+0j 0.3009941409640294+0j
0.06424695671698474+0j 0.2896407022461619+0j
0.055137258247795+0j 0.2782872635282944+0j
0.046027559778604954+0j 0.26693382481042705+0j
0.023174966296561256+0j 0.2569878976935268+0j
0.021090445367170283+0j 0.2524098830056371+0j
0.019005924437779244+0j 0.24783186831774753+0j
0.016921403508388198+0j 0.2432538536298578+0j
0.01483688257899714+0j 0.23867583894196825+0j
0.01275236164960601+0j 0.2340978242540786+0j
0.010667840720214882+0j 0.2295198095661889+0j
0.06878020734846525+0j -1.34960147062585+0j
0.06903706372453226+0j -1.4236996149354448+0j
0.0014714922619042592+0j -1.323425412273172+0j
0.0004291856901592616+0j -1.336609271676052+0j
0.00012229607170266524+0j 0.6730317654683544+0j
0.00038315377457962744+0j 0.6383575378711545+0j
0.0006440114774565446+0j 0.6036833102739545+0j
0.0009048691803334305+0j 0.5690090826767544+0j
0.17112283103292594+0j 0.6910284960176372+0j
0.15979405107334363+0j 0.6087714798228094+0j
0.1484652711137617+0j 0.5265144636279819+0j
0.13713649115418014+0j 0.44425744743315465+0j
0.12580771119459885+0j 0.3620004312383269+0j
0.11447893123501796+0j 0.27974341504349937+0j
0.10317854729111006+0j 0.3631199799860174+0j
0.09406884882192153+0j 0.35176654126814977+0j
0.08495915035273287+0j 0.34041310255028234+0j
0.07584945188354394+0j 0.32905966383241486+0j
0.06673975341435479+0j 0.3177062251145472+0j
0.05763005494516542+0j 0.30635278639667973+0j
0.04852035647597575+0j 0.2949993476788122+0j
0.03941065800678601+0j 0.28364590896094466+0j
0.04639017714220719+0j 0.2635946042170187+0j
0.023174966296561312+0j 0.2582140863094649+0j
0.021090445367170335+0j 0.2536360716215752+0j
0.019005924437779292+0j 0.2490580569336856+0j
0.01692140350838824+0j 0.24448004224579598+0j
0.014836882578997176+0j 0.2399020275579063+0j
0.012752361649606041+0j 0.23532401287001664+0j
0.010667840720214908+0j 0.23074599818212696+0j
0.061382875848646413+0j -1.349752562591311+0j
0.06163973222471344+0j -1.4238507069009063+0j
0.001471492261904195+0j -1.3228122908434121+0j
0.000429185690159243+0j -1.3359961502462925+0j
0.0001222960717027301+0j 0.6728783197815573+0j
0.00038315377457983073+0j 0.6382040921843574+0j
0.0006440114774568863+0j 0.6035298645871574+0j
0.0009048691803339104+0j 0.5688556369899573+0j
0.0011657268832108861+0j 0.5341814093927574+0j
0.14399147899649573+0j 0.615435467131856+0j
0.1326626990369136+0j 0.5331784509370288+0j
0.1213339190773319+0j 0.4509214347422013+0j
0.11000513911775052+0j 0.3686644185473738+0j
0.09867635915816945+0j 0.2864074023525463+0j
0.0874519470501016+0j 0.368478625418668+0j
0.07834224858091303+0j 0.3571251867008004+0j
0.06923255011172426+0j 0.3457717479829328+0j
0.0601228516425353+0j 0.3344183092650652+0j
0.051013153173346024+0j 0.3230648705471975+0j
0.0419034547041566+0j 0.3117114318293299+0j
0.032793756234966845+0j 0.30035799311146233+0j
0.0413931844183378+0j 0.27927363647611164+0j
0.041024462535303126+0j 0.26381149941296095+0j
0.039333000254693495+0j 0.2808655337490692+0j
0.02109044536717039+0j 0.2548622602375134+0j
0.019005924437779338+0j 0.25028424554962364+0j
0.01692140350838828+0j 0.24570623086173404+0j
0.014836882578997212+0j 0.2411282161738444+0j
0.012752361649606074+0j 0.23655020148595465+0j
0.010667840720214934+0j 0.23197218679806503+0j
0.0539855443488276+0j -1.3499036545567722+0j
0.0025137988336491556+0j -1.3090153100107722+0j
0.001471492261904131+0j -1.3221991694136528+0j
0.0004291856901592243+0j -1.3353830288165331+0j
0.000122296071702795+0j 0.6727248740947604+0j
0.0003831537745800341+0j 0.6380506464975605+0j
0.000644011477457228+0j 0.6033764189003604+0j
0.0009048691803343905+0j 0.5687021913031605+0j
0.0011657268832115048+0j 0.5340279637059604+0j
0.0014265845860885733+0j 0.4993537361087603+0j
0.11686012696006544+0j 0.5398424382460753+0j
0.1055313470004836+0j 0.45758542205124797+0j
0.0942025670409021+0j 0.3753284058564206+0j
0.08287378708132088+0j 0.2930713896615933+0j
0.07172534680909308+0j 0.3738372708513184+0j
0.06261564833990448+0j 0.3624838321334508+0j
0.053505949870715636+0j 0.35113039341558316+0j
0.04439625140152659+0j 0.33977695469771557+0j
0.03528655293233728+0j 0.32842351597984776+0j
0.02617685446314774+0j 0.3170700772619802+0j
0.03639619169446861+0j 0.29495266873520465+0j
0.036027469811433774+0j 0.27949053167205384+0j
0.035658747928399084+0j 0.26402839460890304+0j
0.03469622210417477+0j 0.27943365430671924+0j
0.021090445367170443+0j 0.2560884488534514+0j
0.019005924437779386+0j 0.2515104341655618+0j
0.016921403508388323+0j 0.24693241947767205+0j
0.01483688257899725+0j 0.24235440478978243+0j
0.012752361649606105+0j 0.23777639010189275+0j
0.01066784072021496+0j 0.23319837541400307+0j
0.04658821284900879+0j -1.3500547465222335+0j
0.0025137988336490463+0j -1.3084021885810129+0j
0.001471492261904067+0j -1.3215860479838935+0j
0.0004291856901592056+0j -1.3347699073867736+0j
0.00012229607170285989+0j 0.6725714284079638+0j
0.00038315377458023736+0j 0.6378972008107636+0j
0.0006440114774575697+0j 0.6032229732135636+0j
0.0009048691803348707+0j 0.5685487456163637+0j
0.001165726883212123+0j 0.5338745180191636+0j
0.0014265845860893303+0j 0.4992002904219636+0j
0.10105755488321728+0j 0.5465064255551216+0j
0.08972877492363525+0j 0.4642494093602944+0j
0.07839999496405366+0j 0.38199239316546746+0j
0.06510844503727307+0j 0.3905493550018367+0j
0.05599874656808458+0j 0.37919591628396887+0j
0.04688904809889594+0j 0.3678424775661013+0j
0.03777934962970699+0j 0.35648903884823346+0j
0.02866965116051783+0j 0.3451356001303657+0j
0.0195599526913285+0j 0.3337821614124979+0j
0.03139919897059961+0j 0.3106317009942974+0j
0.031030477087564606+0j 0.29516956393114674+0j
0.03066175520452977+0j 0.279707426867996+0j
0.027625248572010017+0j 0.2827247124836634+0j
0.030059443953656045+0j 0.2780017748643694+0j
0.03249363933530214+0j 0.27327883724507546+0j
0.01900592443777943+0j 0.25273662278149983+0j
0.016921403508388364+0j 0.24815860809361015+0j
0.014836882578997287+0j 0.2435805934057205+0j
0.012752361649606136+0j 0.23900257871783082+0j
0.010667840720214988+0j 0.2344245640299411+0j
0.03919088134918992+0j -1.3502058384876938+0j
0.0025137988336489366+0j -1.307789067151253+0j
0.001471492261904003+0j -1.320972926554134+0j
0.00042918569015918697+0j -1.334156785957014+0j
0.00012229607170292475+0j 0.672417982721167+0j
0.0003831537745804406+0j 0.6377437551239673+0j
0.0006440114774579114+0j 0.6030695275267671+0j
0.0009048691803353508+0j 0.5683952999295672+0j
0.0011657268832127416+0j 0.533721072332367+0j
0.0014265845860900873+0j 0.499046844735167+0j
0.001687442288967419+0j 0.464372617137967+0j
0.07392620284678703+0j 0.4709133966693409+0j
0.06259742288720528+0j 0.3886563804745138+0j
0.04938184479626468+0j 0.39590800043448704+0j
0.04027214632707613+0j 0.3845545617166192+0j
0.031162447857887406+0j 0.3732011229987514+0j
0.022052749388698396+0j 0.3618476842808836+0j
0.012943050919509215+0j 0.3504942455630158+0j
0.02640220624673082+0j 0.32631073325339+0j
0.026033484363695663+0j 0.3108485961902394+0j
0.02566476248066065+0j 0.2953864591270888+0j
0.02529604059762575+0j 0.279924322063938+0j
0.022988470421491318+0j 0.2812928330413133+0j
0.02542266580313734+0j 0.2765698954220194+0j
0.027856861184783394+0j 0.27184695780272555+0j
0.030291056566429532+0j 0.26712402018343157+0j
0.016921403508388406+0j 0.24938479670954825+0j
0.014836882578997323+0j 0.24480678202165854+0j
0.012752361649606168+0j 0.2402287673337688+0j
0.010667840720215014+0j 0.23565075264587915+0j
0.03179354984937111+0j -1.3503569304531549+0j
0.0025137988336488277+0j -1.3071759457214938+0j
0.001471492261903939+0j -1.3203598051243743+0j
0.0004291856901591683+0j -1.3335436645272545+0j
0.00012229607170298964+0j 0.6722645370343708+0j
0.00038315377458064394+0j 0.6375903094371709+0j
0.000644011477458253+0j 0.6029160818399707+0j
0.0009048691803358309+0j 0.5682418542427706+0j
0.00116572688321336+0j 0.5335676266455707+0j
0.0014265845860908443+0j 0.4988933990483705+0j
0.0016874422889683143+0j 0.4642191714511706+0j
