-8.5 -19
-0.03682459738923669+0j -0.0005902114825696485+0j
-0.03516464087580844+0j -1.0131383311617393e-05+0j
-0.0332571190802085+0j 0.0005699487159464162+0j
-0.03077049240880493+0j 0.0005364634412455514+0j
-0.027901371105738818+0j 0.00035025462274868187+0j
-0.02488635423354113+0j 0.00016404580425181134+0j
-0.021725441792211895+0j -2.2163014245057917e-05+0j
-0.01841863378175108+0j -0.0002083718327419271+0j
-0.01496593020215868+0j -0.00039458065123879803+0j
-0.011367331053434728+0j -0.0005807894697356677+0j
-0.007048850034852578+0j -5.897303740681805e-06+0j
-0.0030815372533984056+0j 0.0001809911992595425+0j
-0.0030812009692418756+0j -0.00016623700596261193+0j
-0.00704807415244172+0j 4.9507998422515385e-06+0j
-0.010934906211916343+0j 0.00017613860564711506+0j
-0.015004360921106236+0j 0.000472721648743957+0j
-0.018459785392316373+0j 0.00025385953330346253+0j
-0.021769301786566175+0j 3.4997417862968095e-05+0j
-0.024932910103855656+0j -0.00018386469757752642+0j
-0.027950610344184796+0j -0.00040272681301802075+0j
-0.030822402507553612+0j -0.0006215889284585153+0j
-0.033190532972969124+0j -0.0005153009326448997+0j
-0.0350973071165593+0j 1.2246116185704521e-05+0j
-0.0367564648990061+0j 0.0005397931650163107+0j
-0.03815960537547171+0j 0.0010185099579380907+0j
-0.038703103667327605+0j 0.0006109768462773868+0j
-0.03897491321807638+0j 0.00020344373461668282+0j
-0.03897503402771801+0j -0.00020408937704402102+0j
-0.038703466096252505+0j -0.0006116224887047249+0j
-0.03816020942367987+0j -0.0010191556003654285+0j
-0.036755220462564+0j -0.0005388799509317083+0j
-0.03509641361892921+0j -1.4176296369976623e-05+0j
-0.03319004149312276+0j 0.0005105273581917687+0j
-0.030826878030673077+0j 0.0006212372699888802+0j
-0.02795467488185758+0j 0.00040239391629152775+0j
-0.02493657616391051+0j 0.00018355056259417517+0j
-0.021772581876831877+0j -3.529279110317673e-05+0j
-0.018462692020621688+0j -0.0002541361448005282+0j
-0.015006906595279893+0j -0.0004729794984978818+0j
-0.010936189562366827+0j -0.00017412956719087142+0j
-0.007048894102203741+0j -5.145266166182599e-06+0j
-0.003081556327326521+0j 0.0001638390348585085+0j
-0.003081220263405647+0j -0.00014885828315523247+0j
-0.007048118728613191+0j 4.425587079516038e-06+0j
-0.010934976070095515+0j 0.00015770945731426455+0j
-0.015045042280777958+0j 0.0005537255355077533+0j
-0.01850351554349554+0j 0.0003022260870629745+0j
-0.021816080729252785+0j 5.0726638618195775e-05+0j
-0.024982737838049704+0j -0.0002007728098265829+0j
-0.02800348686988629+0j -0.0004522722582713614+0j
-0.03087832782476255+0j -0.00070377170671614+0j
-0.0331240158127911+0j -0.000456999704729709+0j
-0.03502964905653516+0j 1.5159473845137398e-05+0j
-0.03668766593913582+0j 0.00048731865241998423+0j
-0.038255305494770665+0j 0.0011703951741282041+0j
-0.038798804410954124+0j 0.0007020895809040614+0j
-0.03907061458603042+0j 0.00023378398767991905+0j
-0.03907073601999961+0j -0.0002345216055442232+0j
-0.038799168712861654+0j -0.0007028271987683652+0j
-0.03825591266461655+0j -0.0011711327919925077+0j
-0.0366858435358913+0j -0.00048651976737328865+0j
-0.03502818636205+0j -1.7192557507839882e-05+0j
-0.033122963906037015+0j 0.00045213465235760736+0j
-0.030970176167852397+0j 0.0009214618622230565+0j
-0.028007978657976336+0j 0.0004517757689007114+0j
-0.024986798094279873+0j 0.00020029788000287599+0j
-0.021819721961451863+0j -5.1180008894957776e-05+0j
-0.01850675025949228+0j -0.0003026578977927915+0j
-0.0150478829884011+0j -0.0005541357866906274+0j
-0.010936258623141038+0j -0.00015549569017724949+0j
-0.007048938169554905+0j -4.415591128092186e-06+0j
-0.0030815754012546367+0j 0.0001466645079210649+0j
-0.003081239557569418+0j -0.00013145693960412146+0j
-0.0070481633047846624+0j 3.922995060511958e-06+0j
-0.010935045928274685+0j 0.00013930292972514556+0j
-0.014741887428039497+0j 0.0002746828643897792+0j
-0.018547245694674697+0j 0.0003533205069080945+0j
