0.18243674205410151+0j 0.3406304471686643+0j
0.16794903397379757+0j 0.3041389236754471+0j
0.15351219449826325+0j 0.2676474001822297+0j
0.1391262236274985+0j 0.23115587668901222+0j
0.12479112136150342+0j 0.1946643531957948+0j
0.11050688770027796+0j 0.15817282970257748+0j
0.09627352264382218+0j 0.12168130620936017+0j
0.08209102619213601+0j 0.08518978271614285+0j
0.07699940405097741+0j 0.11738940594744904+0j
0.06886308455179715+0j 0.1176464124001554+0j
0.06074441199801401+0j 0.1179034188528618+0j
0.052643386389628136+0j 0.11816042530556818+0j
0.04456000772663944+0j 0.11841743175827456+0j
0.03649427600904785+0j 0.11867443821098096+0j
0.028446191236853526+0j 0.11893144466368734+0j
0.020415753410056345+0j 0.11918845111639371+0j
0.01240296252865637+0j 0.1194454575691001+0j
0.005088727365005454+0j 0.11909252639865255+0j
0.004370284612563537+0j 0.11356614780730777+0j
0.003652985275156909+0j 0.10803976921596302+0j
0.06477791370596295+0j -1.0576275310623937+0j
0.07733124478025921+0j -1.130347458218846+0j
0.089850437177226+0j -1.203067385375298+0j
-0.0035106981737762786+0j -0.9916880108640328+0j
0.0008201004662412453+0j 0.376922509000056+0j
0.0025725892009553623+0j 0.3631989196426689+0j
0.00432945316719797+0j 0.3494753302852819+0j
0.22110709620898206+0j 0.4578711881475609+0j
0.2064860823442284+0j 0.4213946260066614+0j
0.1919159370842444+0j 0.38491806386576183+0j
0.17739666042903007+0j 0.3484415017248623+0j
0.16292825237858535+0j 0.3119649395839629+0j
0.14851071293291018+0j 0.2754883774430633+0j
0.13414404209200467+0j 0.23901181530216384+0j
0.11982823985586868+0j 0.20253525316126422+0j
0.10556330622450248+0j 0.16605869102036472+0j
0.09134924119790586+0j 0.12958212887946532+0j
0.07718604477607886+0j 0.09310556673856586+0j
0.07156578886677449+0j 0.1217659212952939+0j
0.0634431728319389+0j 0.12202811802535538+0j
0.05533820374250045+0j 0.12229031475541685+0j
0.047250881598459235+0j 0.12255251148547834+0j
0.03918120639981519+0j 0.12281470821553982+0j
0.03112917814656831+0j 0.1230769049456013+0j
0.023094796838718647+0j 0.1233391016756628+0j
0.015078062476266123+0j 0.12360129840572427+0j
0.007078975059210815+0j 0.12386349513578578+0j
0.005003013977354876+0j 0.11923155092183971+0j
0.004296613603056435+0j 0.11370550862898916+0j
0.0035913566437932847+0j 0.10817946633613866+0j
0.06496381894015375+0j -1.066001343813224+0j
0.07755347633031073+0j -1.138731311755766+0j
0.0901089950431382+0j -1.2114612796983082+0j
-0.0035272045538930884+0j -0.9976308463206389+0j
0.0008344870779221227+0j 0.37516431308285053+0j
0.002617662476753966+0j 0.3614420105580917+0j
0.004405213107114301+0j 0.34771970803333296+0j
0.006197138969003149+0j 0.33399740550857404+0j
0.2014074006594387+0j 0.42919846377263+0j
0.18685655542931381+0j 0.3927368629840483+0j
0.17235657880395863+0j 0.3562752621954665+0j
0.15790747078337306+0j 0.319813661406885+0j
0.14350923136755714+0j 0.28335206061830337+0j
0.1291618605565108+0j 0.2468904598297217+0j
0.11486535835023406+0j 0.21042885904113992+0j
0.10061972474872696+0j 0.1739672582525584+0j
0.08642495975198955+0j 0.1375056574639767+0j
0.0722810633600217+0j 0.10104405667539522+0j
0.06613217368257159+0j 0.12615855836371392+0j
0.05802326111208068+0j 0.12642594537113044+0j
0.049931995486986895+0j 0.12669333237854702+0j
0.04185837680729034+0j 0.12696071938596362+0j
0.033802405072990996+0j 0.12722810639338022+0j
0.02576408028408877+0j 0.12749549340079683+0j
0.01774340244058377+0j 0.1277628804082134+0j
0.009740371542475925+0j 0.12803026741562998+0j
0.005612802000894528+0j 0.12491044894116274+0j
0.004917300589704297+0j 0.11938474294680644+0j
0.004222942593549333+0j 0.11385903695245012+0j
0.0035297280124296604+0j 0.10833333095809386+0j
0.06514972417434457+0j -1.0743324197276527+0j
0.07777570788036224+0j -1.1470724284562848+0j
0.0903675529090504+0j -1.219812437184917+0j
-0.0035437109340098983+0j -1.003526520766944+0j
0.0008488736896029998+0j 0.37344221911854153+0j
0.0026627357525525696+0j 0.3597212034264109+0j
0.004480973047030631+0j 0.3460001877342803+0j
0.006303585573037206+0j 0.33227917204214974+0j
0.008130573330572256+0j 0.3185581563500192+0j
0.1817971737743833+0j 0.4005783680167413+0j
